uri,label,desc
http://purl.org/ontology/bibo/affirmedBy,affirmedby,A legal decision that affirms a ruling.
http://purl.org/ontology/bibo/annotates,annotates,Critical or explanatory note for a Document.
http://purl.org/ontology/bibo/authorList,list of authors,"An ordered list of authors. Normally, this list is seen as a priority list that order authors by importance."
http://purl.org/ontology/bibo/citedBy,cited by,"Relates a document to another document that cites the
first document."
http://purl.org/ontology/bibo/cites,cites,"Relates a document to another document that is cited
by the first document as reference, comment, review, quotation or for
another purpose."
http://purl.org/ontology/bibo/contributorList,list of contributors,"An ordered list of contributors. Normally, this list is seen as a priority list that order contributors by importance."
http://purl.org/ontology/bibo/court,court,"A court associated with a legal document; for example, that which issues a decision."
http://purl.org/ontology/bibo/degree,degree,The thesis degree.
http://purl.org/ontology/bibo/director,director,A Film director.
http://purl.org/ontology/bibo/distributor,distributor,Distributor of a document or a collection of documents.
http://purl.org/ontology/bibo/editor,editor,"A person having managerial and sometimes policy-making responsibility for the editorial part of a publishing firm or of a newspaper, magazine, or other publication."
http://purl.org/ontology/bibo/editorList,list of editors,"An ordered list of editors. Normally, this list is seen as a priority list that order editors by importance."
http://purl.org/ontology/bibo/interviewee,interviewee,An agent that is interviewed by another agent.
http://purl.org/ontology/bibo/interviewer,interviewer,An agent that interview another agent.
http://purl.org/ontology/bibo/issuer,issuer,"An entity responsible for issuing often informally published documents such as press releases, reports, etc."
http://purl.org/ontology/bibo/organizer,organizer,"The organizer of an event; includes conference organizers, but also government agencies or other bodies that are responsible for conducting hearings."
http://purl.org/ontology/bibo/owner,owner,Owner of a document or a collection of documents.
http://purl.org/ontology/bibo/presentedAt,presented at,"Relates a document to an event; for example, a paper to a conference."
http://purl.org/ontology/bibo/presents,presents,"Relates an event to associated documents; for example, conference to a paper."
http://purl.org/ontology/bibo/producer,producer,Producer of a document or a collection of documents.
http://purl.org/ontology/bibo/recipient,recipient,An agent that receives a communication document.
http://purl.org/ontology/bibo/reproducedIn,reproducedin,The resource in which another resource is reproduced.
http://purl.org/ontology/bibo/reversedBy,reversedby,A legal decision that reverses a ruling.
http://purl.org/ontology/bibo/reviewOf,review of,"Relates a review document to a reviewed thing (resource, item, etc.)."
http://purl.org/ontology/bibo/status,status,The publication status of (typically academic) content.
http://purl.org/ontology/bibo/subsequentLegalDecision,subsequentlegaldecision,"A legal decision on appeal that takes action on a case (affirming it, reversing it, etc.)."
http://purl.org/ontology/bibo/transcriptOf,transcript of,Relates a document to some transcribed original.
http://purl.org/ontology/bibo/translationOf,translation of,Relates a translated document to the original document.
http://purl.org/ontology/bibo/translator,translator,A person who translates written document from one language to another.
http://purl.org/ontology/bibo/abstract,abstract,A summary of the resource.
http://purl.org/ontology/bibo/argued,date argued,The date on which a legal case is argued before a court. Date is of format xsd:date
http://purl.org/ontology/bibo/chapter,chapter,An chapter number
http://purl.org/ontology/bibo/content,content,This property is for a plain-text rendering of the content of a Document. While the plain-text content of an entire document could be described by this property.
http://purl.org/ontology/bibo/edition,edition,The name defining a special edition of a document. Normally its a literal value composed of a version number and words.
http://purl.org/ontology/bibo/issue,issue,An issue number
http://purl.org/ontology/bibo/locator,locator,A description (often numeric) that locates an item within a containing document or collection.
http://purl.org/ontology/bibo/numPages,number of pages,The number of pages contained in a document
http://purl.org/ontology/bibo/numVolumes,number of volumes,"The number of volumes contained in a collection of documents (usually a series, periodical, etc.)."
http://purl.org/ontology/bibo/number,number,A generic item or document number. Not to be confused with issue number.
http://purl.org/ontology/bibo/pageEnd,page end,Ending page number within a continuous page range.
http://purl.org/ontology/bibo/pageStart,page start,Starting page number within a continuous page range.
http://purl.org/ontology/bibo/pages,pages,"A string of non-contiguous page spans that locate a Document within a Collection. Example: 23-25, 34, 54-56. For continuous page ranges, use the pageStart and pageEnd properties."
http://purl.org/ontology/bibo/prefixName,prefix name,The prefix of a name
http://purl.org/ontology/bibo/section,section,A section number
http://purl.org/ontology/bibo/shortTitle,short title,The abbreviation of a title.
http://purl.org/ontology/bibo/suffixName,suffix name,The suffix of a name
http://purl.org/ontology/bibo/uri,uri,Universal Resource Identifier of a document
http://purl.org/ontology/bibo/volume,volume,A volume number
http://purl.org/ontology/bibo/AcademicArticle,academic article,"A scholarly academic article, typically published in a journal."
http://purl.org/ontology/bibo/Article,article,"A written composition in prose, usually nonfiction, on a specific topic, forming an independent part of a book or other publication, as a newspaper or magazine."
http://purl.org/ontology/bibo/AudioDocument,audio document,An audio document; aka record.
http://purl.org/ontology/bibo/AudioVisualDocument,audio-visual document,"An audio-visual document; film, video, and so forth."
http://purl.org/ontology/bibo/Bill,bill,Draft legislation presented for discussion to a legal body.
http://purl.org/ontology/bibo/Book,book,"A written or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers."
http://purl.org/ontology/bibo/BookSection,book section,A section of a book.
http://purl.org/ontology/bibo/Brief,brief,A written argument submitted to a court.
http://purl.org/ontology/bibo/Chapter,chapter,A chapter of a book.
http://purl.org/ontology/bibo/Code,code,A collection of statutes.
http://purl.org/ontology/bibo/CollectedDocument,collected document,A document that simultaneously contains other documents.
http://purl.org/ontology/bibo/Collection,collection,A collection of Documents or Collections
http://purl.org/ontology/bibo/Conference,conference,A meeting for consultation or discussion.
http://purl.org/ontology/bibo/CourtReporter,court reporter,A collection of legal cases.
http://purl.org/ontology/bibo/Document,document,"A document (noun) is a bounded physical representation of body of information designed with the capacity (and usually intent) to communicate. A document may manifest symbolic, diagrammatic or sensory-representational information."
http://purl.org/ontology/bibo/DocumentPart,document part,a distinct part of a larger document or collected document.
http://purl.org/ontology/bibo/DocumentStatus,document status,The status of the publication of a document.
http://purl.org/ontology/bibo/EditedBook,edited book,An edited book.
http://purl.org/ontology/bibo/Email,email,A written communication addressed to a person or organization and transmitted electronically.
http://purl.org/ontology/bibo/Excerpt,excerpt,A passage selected from a larger work.
http://purl.org/ontology/bibo/Film,film,aka movie.
http://purl.org/ontology/bibo/Hearing,hearing,"An instance or a session in which testimony and arguments are presented, esp. before an official, as a judge in a lawsuit."
http://purl.org/ontology/bibo/Image,image,A document that presents visual or diagrammatic information.
http://purl.org/ontology/bibo/Interview,interview,A formalized discussion between two or more people.
http://purl.org/ontology/bibo/Issue,issue,"something that is printed or published and distributed, esp. a given number of a periodical"
http://purl.org/ontology/bibo/Journal,journal,A periodical of scholarly journal Articles.
